Brand,Model,Serial,Mechanical,Cosmetic,Kamerastore,Weighted Price,Sold Price,Comment
Nikon,F50,2922618,5,4,600,,540,Excellent condition with original box
Canon,AE-1,1234567,4,3,150,,120,Classic 35mm SLR camera
Pentax,K1000,7891011,5,5,200,,180,Perfect student camera
Olympus,OM-1,5551234,3,2,180,,150,Needs some cleaning but functional
Minolta,X-700,9876543,4,4,250,,220,Great condition with 50mm lens
Nikon,FM,1112223,4,3,400,,350,Manual focus classic
Canon,F-1,4445556,5,4,800,,720,Professional grade camera
Leica,M3,7778889,5,5,2500,,2200,Legendary rangefinder
Hasselblad,500CM,1234567,4,4,1500,,1300,Medium format excellence
Rolleiflex,2.8F,9876543,3,3,1200,,1000,Twin lens reflex classic